title,note,url,tags,comment,source_list,status
TRAMPA,Buenos drinks,https://www.google.com/maps/place/TRAMPA/data=!4m2!3m1!1s0x85d1ffa0cb54bb0f:0x69f391760918ecee,,,CDMX,visited
Caiman,Buen bar,https://www.google.com/maps/place/Caiman/data=!4m2!3m1!1s0x85d1ff474cf3aba9:0x251fd7705986d040,,,CDMX,visited
El Mekong ទន្លេមេគង្គ,Cantina asiatica con un taco de birria deli! Lo demas pica demasiado como asiatico spicy,https://www.google.com/maps/place/El+Mekong+%E1%9E%91%E1%9E%93%E1%9F%92%E1%9E%9B%E1%9F%81%E1%9E%98%E1%9F%81%E1%9E%82%E1%9E%84%E1%9F%92%E1%9E%82/data=!4m2!3m1!1s0x85d1ff0074baeca7:0xea92db7da3f4c31b,,,CDMX,visited
Hugo,Wine bar favorito de la cdmx. Gran lugar para cenar en date y compartir platos. Buena musica. Los ñoquis son buenisimos,https://www.google.com/maps/place/Hugo/data=!4m2!3m1!1s0x85d1ffdaf4634243:0xd185f7e52f6b9716,,,CDMX,visited
Botánico,Muy buen restaurante y tiene una terraza que puedes apartar para drinks y botanas con mas personas. Las tostadas de atun impresionantes,https://www.google.com/maps/place/Bot%C3%A1nico/data=!4m2!3m1!1s0x85d1ffa6074f148f:0x72687d1fd40d86cd,,,CDMX,visited
Restaurante Castizo,Buen restaurante español con muchas opciones de mesa depende el plan. Buenisimos los arroces y las flores de calabaza rellenas de queso,https://www.google.com/maps/place/Restaurante+Castizo/data=!4m2!3m1!1s0x85d1ff09aa344311:0xb7eb81da3b6c75dd,,,CDMX,visited
Koku,"Sushi casual favorito de la cdmx. El menu es muy extenso y tienen de todo, desde rollos hasta ramen. Sushi cakes de atun y rollo callo con elote",https://www.google.com/maps/place/Koku/data=!4m2!3m1!1s0x85d1ff5fb2fc892f:0x99cab7751b11c703,,,CDMX,visited
ODETTE CONDESA,Muy buen cafe y excelente ubicacion y local. El pan lo hacen al momento,https://www.google.com/maps/place/ODETTE+CONDESA/data=!4m2!3m1!1s0x85d1ff05f3996019:0x4fbf318d62cb98d7,,,CDMX,visited
Canton Mexicali 廣東墨西加利,El mejor restaurante chino de la CDMX probablemente. Buenos los dan dan cacahuate y el pollo general. Cierra tarde,https://www.google.com/maps/place/Canton+Mexicali+%E5%BB%A3%E6%9D%B1%E5%A2%A8%E8%A5%BF%E5%8A%A0%E5%88%A9/data=!4m2!3m1!1s0x85d1ff8cad92027f:0x5c6cc10b834e50fa,,,CDMX,visited
Bobo Burgers & Café (Condesa),,https://www.google.com/maps/place/Bobo+Burgers+%26+Caf%C3%A9+(Condesa)/data=!4m2!3m1!1s0x85d1ff69ffdd7f8d:0x4da164a55500a1c0,,,CDMX,visited
CIENA,,https://www.google.com/maps/place/CIENA/data=!4m2!3m1!1s0x85d1ff42c8645973:0x345df2fea91984a,,,CDMX,visited
Tacos Los Caramelos - Condesa,,https://www.google.com/maps/place/Tacos+Los+Caramelos+-+Condesa/data=!4m2!3m1!1s0x85d1ff1a09ae75db:0x86da44977d2c5293,,,CDMX,visited
El Jugador Número 12,,https://www.google.com/maps/place/El+Jugador+N%C3%BAmero+12/data=!4m2!3m1!1s0x85d1ffe60ac6f3fd:0x62c19ebcbcb9cf6,,,CDMX,visited
Nima Local House Hotel & Spa,,https://www.google.com/maps/place/Nima+Local+House+Hotel+%26+Spa/data=!4m2!3m1!1s0x85d1ff39f1ac222b:0x179fc326efc6b5e7,,,CDMX,visited
Huset,,https://www.google.com/maps/place/Huset/data=!4m2!3m1!1s0x85d1ff39c1498751:0x1da7bb872877380e,,,CDMX,visited
Maizajo,,https://www.google.com/maps/place/Maizajo/data=!4m2!3m1!1s0x85d1f8662726bc5d:0xd437703208a9d19a,,,CDMX,visited
Café de Nadie,,https://www.google.com/maps/place/Caf%C3%A9+de+Nadie/data=!4m2!3m1!1s0x85d1ff1edbce70ff:0xdb713a3a894989bc,,,CDMX,visited
Marmota,,https://www.google.com/maps/place/Marmota/data=!4m2!3m1!1s0x85d1ff15961c2aaf:0xcd3331459a131b84,,,CDMX,visited
ODETTE,,https://www.google.com/maps/place/ODETTE/data=!4m2!3m1!1s0x85d2019ed4e5d627:0xb699296e5b1042c,,,CDMX,visited
Koku,Rollo de elote,https://www.google.com/maps/place/Koku/data=!4m2!3m1!1s0x85d1ff35125b2955:0xe1b2bed9ffa11fb,,,CDMX,visited
Miru,,https://www.google.com/maps/place/Miru/data=!4m2!3m1!1s0x85d2016e34b602c5:0x6373183a8add04ad,,,CDMX,visited
Tokyo Music Bar,,https://www.google.com/maps/place/Tokyo+Music+Bar/data=!4m2!3m1!1s0x85d1ff8d7e6f294d:0x6f07f510fc94e4aa,,,CDMX,visited
Le Tachinomi Desu,Restaurante mini y de mis favoritos,https://www.google.com/maps/place/Le+Tachinomi+Desu/data=!4m2!3m1!1s0x85d1ff4aec23a511:0x282bd999a031aec,,,CDMX,visited
ololo,Bar deli,https://www.google.com/maps/place/ololo/data=!4m2!3m1!1s0x85d1ff789601db3b:0x185e5746da0e77f6,,,CDMX,visited
Sesame,Baos deli,https://www.google.com/maps/place/Sesame/data=!4m2!3m1!1s0x85d1ff3a7484228b:0xa00a3a365e24ff87,,,CDMX,visited
Niddo Oxford,,https://www.google.com/maps/place/Niddo+Oxford/data=!4m2!3m1!1s0x85d1ffeb20a1918b:0x80ec2e159839511d,,,CDMX,visited
Máximo,,https://www.google.com/maps/place/M%C3%A1ximo/data=!4m2!3m1!1s0x85d1ff3be3010d77:0x61a7328c1d52cc2b,,,CDMX,visited
Puntarena,,https://www.google.com/maps/place/Puntarena/data=!4m2!3m1!1s0x85d2010d1a10adcb:0xf4fee3504d49b2b6,,,CDMX,visited
Puntarena,,https://www.google.com/maps/place/Puntarena/data=!4m2!3m1!1s0x85d200cc992871b1:0x98e7835f6311b5cb,,,CDMX,visited
Ginza Barra,,https://www.google.com/maps/place/Ginza+Barra/data=!4m2!3m1!1s0x85d2013b301e79df:0x9e5b05af4ce0ee1d,,,CDMX,visited
Eno,,https://www.google.com/maps/place/Eno/data=!4m2!3m1!1s0x85d201f2d77708b7:0xd31fb2657959d798,,,CDMX,visited
Zeru Lomas,,https://www.google.com/maps/place/Zeru+Lomas/data=!4m2!3m1!1s0x85d2016386a96733:0x55c7fcbfdf53822b,,,CDMX,visited
LaMari,,https://www.google.com/maps/place/LaMari/data=!4m2!3m1!1s0x85d201922fec07dd:0xcf17aaf71c77af2e,,,CDMX,visited
Sandoi,,https://www.google.com/maps/place/Sandoi/data=!4m2!3m1!1s0x85d2015adacd450f:0x7d8d3d132d12ff6c,,,CDMX,visited
Roca,,https://www.google.com/maps/place/Roca/data=!4m2!3m1!1s0x85d2018d1482e875:0x1e27dedf1a25f0a2,,,CDMX,visited
One Pound Terraza,,https://www.google.com/maps/place/One+Pound+Terraza/data=!4m2!3m1!1s0x85d201d2ba6fdcd1:0x3bd34519d6b1e3e5,,,CDMX,visited
Ajoblanco,,https://www.google.com/maps/place/Ajoblanco/data=!4m2!3m1!1s0x85d201c42d492ddd:0x4914428c6e0f11b3,,,CDMX,visited
Prendes,,https://www.google.com/maps/place/Prendes/data=!4m2!3m1!1s0x85d1ff634e2a7971:0xa619806d91d2be80,,,CDMX,visited
Boccado Prendes La Mexicana,,https://www.google.com/maps/place/Boccado+Prendes+La+Mexicana/data=!4m2!3m1!1s0x85d201b6d809bb5b:0x50994797b7d24440,,,CDMX,visited
Estoril,,https://www.google.com/maps/place/Estoril/data=!4m2!3m1!1s0x85d200c4b98ed481:0xcae37a051ee80a0a,,,CDMX,visited
Jin San,,https://www.google.com/maps/place/Jin+San/data=!4m2!3m1!1s0x85d200e7c7857b93:0xa65d797e529e51c3,,,CDMX,visited
Sakai Santa Fe,,https://www.google.com/maps/place/Sakai+Santa+Fe/data=!4m2!3m1!1s0x85d201e2c6ec0c8d:0xf0735b8e46bbe3d8,,,CDMX,visited
Onomura Santa Fe,,https://www.google.com/maps/place/Onomura+Santa+Fe/data=!4m2!3m1!1s0x85d201446353c655:0x5d069ee5e1c4c774,,,CDMX,visited
Onomura Prado Norte,,https://www.google.com/maps/place/Onomura+Prado+Norte/data=!4m2!3m1!1s0x85d2015439d13f33:0x2c380b9de92d6fe2,,,CDMX,visited
Contramar,,https://www.google.com/maps/place/Contramar/data=!4m2!3m1!1s0x85d1ff2fbf2f3f7b:0xe8a4468e5f14a3f,,,CDMX,visited
La Esquina Del Chilaquil,,https://www.google.com/maps/place/La+Esquina+Del+Chilaquil/data=!4m2!3m1!1s0x85d1ff428f61a6a3:0xec757c64e0f05944,,,CDMX,visited
Restaurante Rosetta,,https://www.google.com/maps/place/Restaurante+Rosetta/data=!4m2!3m1!1s0x85d1ff035a802175:0x617fedb7ee58dbc0,,,CDMX,visited
ULTRAMARINOS DEMAR,,https://www.google.com/maps/place/ULTRAMARINOS+DEMAR/data=!4m2!3m1!1s0x85d1ff003cb5ceeb:0x9ecb12cbee322204,,,CDMX,visited
Havre 77,,https://www.google.com/maps/place/Havre+77/data=!4m2!3m1!1s0x85d1ff316923c3f7:0xe06e213a196ed97c,,,CDMX,visited
