Title,Note,URL,Tags,Comment
Merotoro,,https://www.google.com/maps/place/Merotoro/data=!4m2!3m1!1s0x85d1ff4041c7d6cd:0xc942a461f2b15ad5,,
Chiquitito Café,,https://www.google.com/maps/place/Chiquitito+Caf%C3%A9/data=!4m2!3m1!1s0x85d1ff003c836799:0x93c1c2ab4e07ed7,,
TRAMPA,Buenos drinks,https://www.google.com/maps/place/TRAMPA/data=!4m2!3m1!1s0x85d1ffa0cb54bb0f:0x69f391760918ecee,,
Caiman,Buen bar,https://www.google.com/maps/place/Caiman/data=!4m2!3m1!1s0x85d1ff474cf3aba9:0x251fd7705986d040,,
El Mekong ទន្លេមេគង្គ,Cantina asiatica con un taco de birria deli! Lo demas pica demasiado como asiatico spicy,https://www.google.com/maps/place/El+Mekong+%E1%9E%91%E1%9E%93%E1%9F%92%E1%9E%9B%E1%9F%81%E1%9E%98%E1%9F%81%E1%9E%82%E1%9E%84%E1%9F%92%E1%9E%82/data=!4m2!3m1!1s0x85d1ff0074baeca7:0xea92db7da3f4c31b,,
Hugo,Wine bar favorito de la cdmx. Gran lugar para cenar en date y compartir platos. Buena musica. Los ñoquis son buenisimos,https://www.google.com/maps/place/Hugo/data=!4m2!3m1!1s0x85d1ffdaf4634243:0xd185f7e52f6b9716,,
Botánico,Muy buen restaurante y tiene una terraza que puedes apartar para drinks y botanas con mas personas. Las tostadas de atun impresionantes,https://www.google.com/maps/place/Bot%C3%A1nico/data=!4m2!3m1!1s0x85d1ffa6074f148f:0x72687d1fd40d86cd,,
Restaurante Castizo,Buen restaurante español con muchas opciones de mesa depende el plan. Buenisimos los arroces y las flores de calabaza rellenas de queso,https://www.google.com/maps/place/Restaurante+Castizo/data=!4m2!3m1!1s0x85d1ff09aa344311:0xb7eb81da3b6c75dd,,
Koku,"Sushi casual favorito de la cdmx. El menu es muy extenso y tienen de todo, desde rollos hasta ramen. Sushi cakes de atun y rollo callo con elote",https://www.google.com/maps/place/Koku/data=!4m2!3m1!1s0x85d1ff5fb2fc892f:0x99cab7751b11c703,,
ODETTE CONDESA,Muy buen cafe y excelente ubicacion y local. El pan lo hacen al momento,https://www.google.com/maps/place/ODETTE+CONDESA/data=!4m2!3m1!1s0x85d1ff05f3996019:0x4fbf318d62cb98d7,,
Canton Mexicali 廣東墨西加利,El mejor restaurante chino de la CDMX probablemente. Buenos los dan dan cacahuate y el pollo general. Cierra tarde,https://www.google.com/maps/place/Canton+Mexicali+%E5%BB%A3%E6%9D%B1%E5%A2%A8%E8%A5%BF%E5%8A%A0%E5%88%A9/data=!4m2!3m1!1s0x85d1ff8cad92027f:0x5c6cc10b834e50fa,,
Bobo Burgers & Café (Condesa),,https://www.google.com/maps/place/Bobo+Burgers+%26+Caf%C3%A9+(Condesa)/data=!4m2!3m1!1s0x85d1ff69ffdd7f8d:0x4da164a55500a1c0,,
